iter	Passed	Remaining
0	140	13958
1	141	6943
2	142	4600
3	142	3426
4	143	2724
5	143	2255
6	144	1921
7	145	1669
8	145	1474
9	146	1318
10	147	1190
11	147	1084
12	148	993
13	149	915
14	149	848
15	150	790
16	151	738
17	151	691
18	152	650
19	153	612
20	153	579
21	154	548
22	155	519
23	155	493
24	156	469
25	157	447
26	157	426
27	158	407
28	159	389
29	159	372
30	160	356
31	160	341
32	161	327
33	162	314
34	162	302
35	163	290
36	163	279
37	164	268
38	165	258
39	165	248
40	166	239
41	166	230
42	167	221
43	168	213
44	168	206
45	169	198
46	170	191
47	170	184
48	171	178
49	172	172
50	172	165
51	173	159
52	173	154
53	174	148
54	174	142
55	175	137
56	175	132
57	176	127
58	177	123
59	177	118
60	178	113
61	178	109
62	179	105
63	179	101
64	180	97
65	180	93
66	181	89
67	182	85
68	182	82
69	183	78
70	183	75
71	184	71
72	184	68
73	185	65
74	186	62
75	186	58
76	187	55
77	187	52
78	188	50
79	188	47
80	189	44
81	190	41
82	190	39
83	191	36
84	191	33
85	192	31
86	192	28
87	193	26
88	193	23
89	194	21
90	195	19
91	195	17
92	196	14
93	196	12
94	197	10
95	198	8
96	198	6
97	199	4
98	199	2
99	200	0
